round,labeled_size,miou_round,f1_round,epochs_observed,experiment
1,151,0.5992547546028322,0.6758326178125864,10,baseline_entropy
2,239,0.6982528164741553,0.7883550121468079,10,baseline_entropy
3,327,0.7081531122819793,0.7982877868623933,10,baseline_entropy
4,415,0.741392148380479,0.828858204157852,10,baseline_entropy
5,503,0.7431727623143661,0.830477982746693,10,baseline_entropy
6,591,0.7506631712670482,0.8370466650542274,10,baseline_entropy
7,679,0.7476757893676413,0.8341234854070362,10,baseline_entropy
8,767,0.7532231389946156,0.8390150375885761,10,baseline_entropy
9,855,0.7537811760910955,0.8393554415904101,10,baseline_entropy
10,943,0.7101228249336544,0.7996976981953556,3,baseline_entropy
1,151,0.6021274596127434,0.6784446118108,10,full_model
2,239,0.6968110407699093,0.7869813285674019,10,full_model
3,327,0.7236949260668981,0.8127560889892211,10,full_model
4,415,0.7134477566570786,0.8030294036228458,10,full_model
5,495,0.741297338797334,0.8287075447779937,10,full_model
6,583,0.7307305028037067,0.8195077595914655,10,full_model
7,627,0.7452702213468864,0.8319480905095321,10,full_model
8,715,0.7473522997402685,0.8339025740348928,10,full_model
9,803,0.7427505049800524,0.8302607101359699,10,full_model
10,891,0.7551835526313955,0.8405906364379918,10,full_model
11,979,0.7600098682215481,0.84463573639077,10,full_model
12,1067,0.7630936496573192,0.8473396700506055,10,full_model
13,1155,0.7579051722465442,0.8429198879863345,10,full_model
14,1243,0.7573026582298157,0.8425559250313743,10,full_model
15,1331,0.7624439109019197,0.8468196682907495,10,full_model
