experiment_name,n_rounds,overfit_risk_mean,overfit_risk_max,corr_risk_miou_gain,corr_risk_miou_gain_next,corr_tvc_mean_miou_gain,corr_tvc_mean_miou_gain_next
agent_control_lambda,15,0.3800186755575441,1.1257053483297768,-0.19599269472709752,-0.4694267909615545,,
baseline_bald,15,0.48041572845596936,1.0548772433247635,-0.1837565008407541,-0.5044871217511911,,
baseline_coreset,15,0.4927860956378108,1.099911662932727,-0.41545220418849155,-0.39161069735006315,,
baseline_dial_style,15,0.34121285750661917,0.8094745696378748,-0.47606563973585736,-0.7806544655187689,,
baseline_entropy,15,0.40260637829793894,0.9977060193894018,-0.4559010594478276,-0.42247117459755934,,
baseline_llm_rs,15,0.39967836524405315,1.1536547614586685,-0.4619430709818138,-0.559367509663166,,
baseline_llm_us,15,0.6410629704936547,1.2913555863847743,-0.29610649584175947,-0.6754897979001594,,
baseline_random,15,0.4121760316060242,1.0615710114848744,-0.4407241482040456,-0.42603611569406613,,
baseline_wang_style,15,0.4726642508642897,1.4132266122680113,-0.317197091948059,-0.3167742589194798,,
fixed_k,15,0.48724137765127806,1.2003800944670107,-0.7515178954658426,-0.34712897658394354,,
fixed_lambda,15,0.48982887475632175,0.9439173540001623,-0.3968245288106493,-0.7051669975112149,,
full_model_A_lambda_policy,15,0.6787562619753466,1.231616932191012,-0.6858855261053427,-0.7481307736629956,,
full_model_B_lambda_agent,15,0.5429360932749897,0.9692569373183212,-0.2981100304574762,-0.5052861792264544,,
knowledge_only,15,0.3788512102566048,1.2349722922429522,-0.36696854391238465,-0.341592159199416,,
no_agent,15,0.5377527186167764,1.234872128569116,-0.6068565273368696,-0.46441457026483796,,
no_cold_start,15,0.48339182909839656,1.2043322619805972,-0.5490091033983636,-0.5314438719454819,,
no_normalization,15,0.5308538625634073,1.087984106436533,-0.6912952956567122,-0.6161046159696161,,
random_lambda,15,0.38176699207695086,1.087874928931099,-0.2804078044962036,-0.26960938001629425,,
rule_based_controller_r1,15,0.44031213501205996,1.028296657069955,-0.42275620946549913,-0.35055104438730567,,
rule_based_controller_r2,9,0.17032156666431522,0.3360047336284352,0.3436081252679597,0.128930810246571,,
